"Original Text","Initial","Machine translation","Better translation","Best translation"
"关仙子","","","",""
"GXZ","","","",""
"GXZ_happy","","","",""
"GXZ_smile","","","",""
"GXZ_talk","","","",""
"GXZ_normal","","","",""
"GXZ_sad","","","",""
"关仙子正在外执行任务哦！","","","",""
"
关家被押之前","","","",""
"music/shenlingjuzhu.ogg","","","",""
"既然提前得到了消息，就该有所行动！爹爹为何要坐以待毙？","","","",""
"难道爹爹真的甘心前往流放之地，从此任由奸佞乱朝纲？","","","",""
"关秋南","","","",""
"【沉声道】这是陛下的决定，我们难道还要选择抗旨？","","","",""
"清者自清，关家世世代代一心为岳朝着想，我这一生功绩虽说未及祖上，但也不是没有建树，皇上总会放下猜忌，我关家也总有一日能够沉冤得雪。","","","",""
"【握紧双拳，提到你的名字后两行清泪顺着脸颊滚落】一晃十几载过去了，[xing]家冤死的人仍然背负着谋逆的罪名...[ming]哥哥也至今生死未卜。","","","",""
"关夫人","","","",""
"【见一向坚强的女儿难得落泪，心头一酸】（十几年过去了，仙子已然成人，却始终不肯出嫁，看来还是未能放下小[ming]...）","","","",""
"【也因关仙子提及[xing]家，语气放软了些】爹爹答应你，有朝一日一定会为[xing]家和关家洗刷冤屈。","","","",""
"【抿唇不语，抬手擦干眼泪，半晌才道】爹爹还在指望着那昏君幡然醒悟。","","","",""
"【竖眉叱责】不得胡言乱语！","","","",""
"【倔强地撇过头】","","","",""
"【叹了口气，语重心长地劝慰】我关家祖训在上，世代培育忠良，报效岳朝。这是我们关家应尽的责任，更是应守的规矩。我同你这般大小时，你的祖父也是如此教导我的。","","","",""
"自古多有飞鸟尽良弓藏一说，可岳高祖从未过河拆桥。高祖战时屡次三番舍身救你祖父不说，居高位后更是封了他为“扶兴侯”，给了关家莫大的荣耀与权力。","","","",""
"高祖曾说，你祖父于他而言，不仅是左膀右臂，更是手足。他待人真诚，从无虚言，那之后的关家盛极一时，父亲大受感动，自此亲立祖训，关家子孙后代必竭诚尽节，世代效忠岳朝。","","","",""
"我若因为这一时的蒙冤，违背父亲的意愿、违背祖训，那可就成为关家的罪人了。","","","",""
"【听着爹爹从小说到大的话，第一次产生了反驳的心】......","","","",""
"是，我很佩服高祖，当初祖父误入敌营险些丧命，是他不顾一切阻拦，拼死救出了祖父。","","","",""
"即使在高祖最困难的时候，连饭都吃不上的时候，他也选择将粮食让给祖父，自己偷偷食用树皮。","","","",""
"高祖爱兵如子，德厚流光...这些故事我少时统统都听您讲过，早已熟记于心。","","","",""
"但故人已去，如今早已不是当年的光景，若高祖在天有灵，以他的为人，也不会想看到黎民百姓在昏君的统治下生活于水火之中。","","","",""
"【面色一寒】爹爹一直以为你身上有关家人的风骨，却没想到你还是不明白爹爹的坚持...你应该体谅我，体谅关家，而不是在这与我争吵。","","","",""
"【见关秋南冥顽不灵，将话头抛给关夫人】阿娘，您也是这么认为的吗？","","","",""
"【犹豫】你父亲做的事情或许现在看不出来他的用心，但阿娘相信他的决定。","","","",""
"【最后一丝希望破灭】我一直觉得阿娘是女中豪杰，心中自有天地，没想到您也愿意跟随这样的愚忠...真是可笑至极！","","","",""
"【抬手想给关仙子一巴掌，最后手还是停留在半空】你！休得胡言！我就是这样教导你的吗？竟敢对你母亲出言不逊！","","","",""
"se/blmcq.ogg","","","",""
