"Original Text","Initial","Machine translation","Better translation","Best translation"
"雎鸠","","","",""
"JJ","","","",""
"JJ_laugh","","","",""
"JJ_smile","","","",""
"JJ_normal","","","",""
"JJ_sad","","","",""
"JJ_mad","","","",""
"雎鸠不在风信楼。","","","",""
"雎鸠正在外执行任务哦！","","","",""
"music/laocunfeng.ogg","","","",""
"【坐在屋顶上】","","","",""
"se/walk.ogg","","","",""
"【走过去】","","","",""
"【看你】师爷来了？","","","",""
"se/blmcq.ogg","","","",""
"【跳下屋顶】","","","",""
"师爷今日怎么有空来这里？","","","",""
"在楼里四处不见你，就知道你肯定是来后院了。","","","",""
"我不喜欢人多的地方，还是这里舒服些。","","","",""
"明白。","","","",""
"【抱臂】这风信楼风景好，美人还多，师爷真是好福气。","","","",""
"王爷不是派我来这里享福的。","","","",""
"【叹了口气】你办事总是那么认真，也难怪王爷器重你。","","","",""
"[zicheng]只愿不负王爷栽培之恩。","","","",""
"反","","","",""
"se/haogan.ogg","","","",""
"不负王爷","","","",""
"（师爷对王爷可真是上心....）","","","",""
"三心二意，难成大事。","","","",""
"难成大事","","","",""
"是啊...心思总是放在别的上面，太容易误事了。","","","",""
"确实比以前自在许多。","","","",""
"以前自在许多","","","",""
"【皱眉】师爷在这里过得开心就好。","","","",""
"没什么事情雎鸠就去练武了。","","","",""
"se/blmcz.ogg","","","",""
"【跃上屋顶】","","","",""
"......","","","",""
"我和你一样，不喜欢人多。","","","",""
"我和你一样","","","",""
"原来师爷和雎鸠竟有这么多共同点？","","","",""
"王爷以前就说过，我们都是性情孤僻的人。","","","",""
"【一笑】我的荣幸。","","","",""
"music/zaoshanghao.ogg","","","",""
"se/closedoor.ogg","","","",""
"【进门】","","","",""
"师爷。","","","",""
"【坐下】出什么事了？","","","",""
"如果我说无事呢？","","","",""
"我了解你，你没那么无聊。","","","",""
"是啊，雎鸠若是没什么事情，哪敢请师爷过来？","","","",""
"【以开玩笑的语气道】这些年为了跟师爷说上话，雎鸠可是给自己找了不少事情啊。","","","",""
"说正事吧。","","","",""
"嗯。","","","",""
"说正事","","","",""
"只是你自己这么以为而已。","","","",""
"你自己这么以为","","","",""
"照这么说，雎鸠以后就算没事也能请动师爷了？","","","",""
"请随意。","","","",""
"【难掩笑意】那再好不过了。","","","",""
"不过，今天确实有要事与你商量。","","","",""
"【颔首】","","","",""
"【一笑置之】","","","",""
"一笑置之","","","",""
"不开玩笑了，说正事罢。","","","",""
"是永山那边来的消息....","","","",""
"等密室","","","",""
"music/lujing.ogg","","","",""
"se/book.ogg","","","",""
"【收起京熹书院的地图】师爷打算什么时候陪雎鸠去翻密室？","","","",""
"【10体力】就今晚吧。","","","",""
"密室","","","",""
"嗯，那我们子时动身。","","","",""
"【体力不足15，返回】","","","",""
"【返回】","","","",""
"【拉满弓】","","","",""
"se/she.ogg","","","",""
"箭“嗖”的一声飞出，箭杆直穿靶心。","","","",""
"se/blmcgq.ogg","","","",""
"【又从箭囊里取出一支箭，架到弓上】","","","",""
"【走过去】再来几箭，墙就要被你打出洞了。","","","",""
"【放下弓箭】","","","",""
"师爷安心","","","",""
"师爷安心，雎鸠还是有分寸的。","","","",""
"【看向“体无完肤”的箭靶】你这两天总在这里拿它们出气，可是谁惹你不快了？","","","",""
"se/jing.ogg","","","",""
"【察觉到有人，立马将弓箭转而对准你】","","","",""
"【站住】","","","",""
"...师爷。","","","",""
"【放下弓箭】师爷有伤在身，身法不如从前，还是不要再这样不声不响的了，以免被我误伤。","","","",""
"坏人","","","",""
"恶毒","","","",""
"习惯了。","","","",""
"多说话","","","",""
"（他要是能每天多说几句话就好了。）","","","",""
"【暗自摇头】是你该防范我才对。","","","",""
"防范我","","","",""
"【挑眉】何出此言？难道师爷真的相信，我们两个也会有兵戎相见的那一天吗？","","","",""
"【微笑不语】","","","",""
"【看向“体无完肤”的箭靶】说吧，最近出了什么事，要这样撒气？","","","",""
"是京熹书院的密室。我已经找到了入口，可是进去后里面却什么都没有。","","","",""
"我前后去了三趟，均一无所获。这些老滑头，密室里还设了机关，藏得真够深的。","","","",""
"里面都藏了些什么？","","","",""
"自然是大量的{color=#ff0000}朝廷密档{/color}了。不过王爷说这件事没那么要紧，能做则做，不能做也罢。","","","",""
"【10体力】我陪你去一次，兴许能找到。","","","",""
"去密室","","","",""
"那再好不过了！","","","",""
"有师爷在，我今晚必能把它们翻出来。","","","",""
"不妨等我空闲时，一起去找找看吧。","","","",""
"有师爷助力，再好不过了。","","","",""
"那么雎鸠就在这里待着，等师爷有空了，我们随时都可以出发。","","","",""
"那些消息可以从别的渠道获取，确实不要紧。","","","",""
"不去","","","",""
"【点头】原来是这样，难怪王爷对此不怎么上心。","","","",""
"唉，既然不擅长这种动脑筋的活儿，我就还是老老实实留在这里待命吧。","","","",""
"要是楼里有什么需要我的地方，师爷尽管提。","","","",""
"music/chaoyuehuanjue.ogg","","","",""
"【拉着你，轻巧落地】到了。","","","",""
"这里每过一炷香的时间便会有人巡查，师爷需得尽快。
{size=-3}{color=#ff0000}（注释：一共有6次行动机会，仔细搜索会额外消耗行动机会。）{/color}{/size}","","","",""
"接下来，就靠师爷的了。","","","",""
"【点头】我尽力而为。","","","",""
"这间密室的布置与普通书房无异，有三个书架、一张书桌、一把椅子、一盏灯。
你决定搜索......？","","","",""
"【左边的书架】","","","",""
"坐下","","","",""
"玛瑙","","","",""
"【注意到书架中有一个弹出来的暗格】","","","",""
"（难道这就是雎鸠坐到椅子上时所触发的机关？）","","","",""
"se/success.ogg","","","",""
"{color=#9DFF9D}获得 玛瑙匕首x1{/color}","","","",""
"粗略扫去，左边的书架上放着一些人物志、地方志和精怪奇谈。
是否要仔细搜索？","","","",""
"【是】","","","",""
"是","","","",""
"【发现了一本《冶铸与锻造》】（是朝廷有关冶铁的密档。）","","","",""
"师爷果然厉害。","","","",""
"【抽出书】——","","","",""
"se/shoot.ogg","","","",""
"——咻咻咻！","","","",""
"【拽着你腾空而起，躲开了暗箭】","","","",""
"【侧耳细听】","","","",""
"应该没有机关了。","","","",""
"破解成功","","","",""
"密室成功","","","",""
"这书是用密码写的，看来之前那个译本就是用来破解它的。","","","",""
"获得了一些有用的消息。
{color=#FF6347}【通关难度发生了一些变化】{/color}","","","",""
"这书是用密码写的，我需要译本破解后，方可抄录。","","","",""
"（可惜从书桌暗格中得到的译本并不是用来破解这本书的。）","","","",""
"【否】","","","",""
"否","","","",""
"（左边书架上的书一看就没有任何价值，还是去搜索其他的地方吧。）","","","",""
"这里你已经搜查过了，没有异常，去其他的地方看看吧。","","","",""
"【中间的书架】","","","",""
"中间的书架上，书都是以年份命名的。
是否要仔细搜索？","","","",""
"【找到了有关岳朝官员的任职记录和生平简述的文献】","","","",""
"【正准备动手去拿】——","","","",""
"——【伸手挡住你】别动！","","","",""
"这本书一旦动了，必然会惊动书院的看守，我上次就是因为这本书而失败的。","","","",""
"我来试试能不能破解它的机关。","","","",""
"se/chouti.ogg","","","",""
"你做事一向认真谨慎，很快便听“咔哒”一声。","","","",""
"【严肃的神情终于放松】","","","",""
"【看向你】师爷，成了。","","","",""
"se/flip.ogg","","","",""
"【拿出文献翻阅】是破解《冶铁》的译本。","","","",""
"【拿出文献翻阅】是一个译本...","","","",""
"【一不留心，搬错了一处】（不妙。）","","","",""
"【谨慎为上】既然如此，那就放着它不动。","","","",""
"【点头同意】这样最好。","","","",""
"（这个书架上的书应该都是些任职记录，没什么重要性。）","","","",""
"【右边的书架】","","","",""
"右边的书架上陈列着一些账本。
是否要仔细搜索？","","","",""
"【发现了一本《户部赈灾》】（是朝廷赈灾的支调记录。）","","","",""
"【翻阅】从这账本来看，岳治似乎是个明君呢。","","","",""
"【忍俊不禁】","","","",""
"（......）","","","",""
"【抄录，然后去下一处调查】","","","",""
"{color=#9DFF9D}获得 珍稀字帖x1{/color}","","","",""
"【不抄录，翻翻别的账本】","","","",""
"用密语记录的账本","","","",""
"（这账本太干净了，不对劲。）","","","",""
"【继续搜查】","","","",""
"【在另一本书的背后夹层中找到了用密语记录的账本】","","","",""
"所以师爷先前找到的译本是用来破解冶铁的还是这个账本的？","","","",""
"【匆匆扫了一眼】","","","",""
"【低头迅速抄下】是账本的。","","","",""
"【恍然大悟】师爷找到的那个译本就是用来破解这个账本的。","","","",""
"【点点头，迅速抄下】","","","",""
"（接下来只需要找到译本，便可以破解抄录。）","","","",""
"（估计都是些贪官造假的账本吧。）","","","",""
"【书桌】","","","",""
"书桌上的文房四宝独独少了“纸”。
是否要仔细搜索？","","","",""
"se/tap.ogg","","","",""
"【四处敲了敲】","","","",""
"【找到了书桌侧面的一处暗格】","","","",""
"暗格里是一本译本。","","","",""
"【惊喜】是译本！","","","",""
"师爷看看，这是破解账本的还是冶铁的？","","","",""
"【对比着《冶铸与锻造》、账本和译本】","","","",""
"是账本的。","","","",""
"有了它我们就可以破解那个账本，进行抄录了。","","","",""
"【迅速抄下】","","","",""
"【对比着《冶铸与锻造》和译本】（这个译本并不是用来破解它的...）","","","",""
"（不知这是破解什么用的？）","","","",""
"（书桌没有什么可找的。）","","","",""
"【想了想，再次来到书桌前】（或许这里确实有什么问题。）","","","",""
"【想了想，再次来到书桌前】（我总觉得，这里一定还有重要的密档。）","","","",""
"完","","","",""
"【发现了书桌底面的一处暗格】","","","",""
"{color=#9DFF9D}获得 发霉的茶叶x2{/color}","","","",""
"【椅子】","","","",""
"这把椅子没有什么奇特之处。","","","",""
"【让雎鸠坐上去】","","","",""
"【坐下】","","","",""
"se/iron.ogg","","","",""
"【在她坐下后，听到了轻微的“咔咔”声】","","","",""
"（是机关转动的声音。）","","","",""
"你和雎鸠暗自戒备了一会，却无事发生。","","","",""
"【起身】这椅子只有外表美观，坐上去硌得慌，实在不是给人坐的。","","","",""
"【感叹道】要是在此久坐，一定会腰酸背疼。","","","",""
"【让雎鸠推动椅子】","","","",""
"推倒","","","",""
"【将椅子推倒】","","","",""
"（看来只是一把普通的椅子。）","","","",""
"点灯","","","",""
"诗词","","","",""
"有了灯光照明之后，你才发现椅子底部密密麻麻地写着几排小字。","","","",""
"（是一首我没有听说过的诗...）","","","",""
"se/magic.ogg","","","",""
"{color=#D81C8E}解锁琴艺曲目：《无名》☆☆☆{/color}
特殊加成：固定月收入+100","","","",""
"【灯】","","","",""
"灯旁放着火折子。","","","",""
"【点灯】（有灯照明方可不遗落细节。）","","","",""
"se/flame.ogg","","","",""
"【点燃了灯】","","","",""
"密室中亮了起来。","","","",""
"【似乎听到哪里传来“咯噔一声”】是机关的声音吗？","","","",""
"【警惕起来】","","","",""
"你们等了一会儿，却不见有暗箭飞来。","","","",""
"去别处看看吧，点灯会暴露行踪，我们剩的时间不多了。","","","",""
"【不点】（点灯会暴露行踪。）","","","",""
"不点","","","",""
"soubianmishi","","","",""
"se/yipee.ogg","","","",""
"{color=#D81C8E}【获得成就：搜遍密室】{/color}","","","",""
"【忽然止住你】","","","",""
"【不动如山】","","","",""
"【凝神细听】.......","","","",""
"【低声道】巡逻的人来了。","","","",""
"【拉起你的胳膊】师爷，我们走！","","","",""
"【带着你飞出密室】","","","",""
"你们走之后，京熹书院发现密室遭窃，守卫更加森严，机关也增加了，你们怕是无法再次进去了。","","","",""
"【与雎鸠对弈中】","","","",""
"se/place.ogg","","","",""
"【落子】吃。","","","",""
"你确定要下在这里？","","","",""
"【研究了会儿棋局】","","","",""
"下这里，有问题吗？","","","",""
"教导","","","",""
"【无奈一笑】如此虽说吃了一子，但往后几步棋势必然分崩离析。","","","",""
"不出十步，我定能胜你。","","","",""
"一个小小的举动竟有这么严重的后果？","","","",""
"【颔首】几步之内的好坏并不重要，你要将目光放得长远些，不要因小失大。","","","",""
"师爷高瞻远瞩，难怪雎鸠总是赢不了。","","","",""
"不说话","","","",""
"【摇头不语】（雎鸠武艺虽然高强，但没有耐心，常喜欢依靠性子冲动行事，又爱计较眼前得失，有些鼠目寸光，日后定要吃大亏。）","","","",""
"师爷不说话，雎鸠是看不出自己哪里做错了的。","","","",""
"多输一输，自然就明白了。","","","",""
"师爷如此吝教，是怕我青出于蓝吗？","","","",""
"这我不担心。","","","",""
"确实不必担心，因为一定不会有那么一天。","","","",""
"【总结道】还是打架容易啊。","","","",""
"music/67-yan.ogg","","","",""
"多亏了师爷，我们才终于拿到了书院里的档案。","","","",""
"se/pour.ogg","","","",""
"【给你倒满酒】来，这杯敬你。","","","",""
"【一饮而尽】","","","",""
"骰子碰击晒盅壁的声音从隔壁桌传来。","","","",""
"赌博男子一","","","",""
"大，大，大！","","","",""
"赌博男子二","","","",""
"压小才会赢！","","","",""
"你懂什么？快点开！","","","",""
"【听着隔壁桌的声音，面上很是不悦】","","","",""
"（在这种小地方赌，九成是忽悠人的。）","","","",""
"【去跟他们“赌”上一把】","","","",""
"拆穿","","","",""
"【走上前去】不如加我一个？","","","",""
"庄家","","","",""
"【斜眼看你】（又来一个傻子。）","","","",""
"欢迎欢迎，坐吧！","","","",""
"托儿","","","",""
"【与庄家隐晦地对视一眼，比了个手势】","","","",""
"赌博男子","","","",""
"快点开始，我这会运气正旺！","","","",""
"倾家荡产男","","","",""
"【盯着晒盅】这把一定要赢，把之前的都赢回来。","","","",""
"【拿起晒盅摇了起来，看向你】后生啊，里面总共是三个骰子，我们只猜大小，会吗？","","","",""
"会。","","","",""
"【侧耳倾听】（四四六...压大。）","","","",""
"【摇好放在桌上】买定离手，压大压小？","","","",""
"我听出来了，是小！里面肯定有两个二。","","","",""
"你确定吗？我跟你压了几次都是输。","","","",""
"【装作发怒的样子】不信我就算了。","","","",""
"【忽然开口，对倾家荡产男道】既然你跟着他压一直输，这次何不反过来？","","","",""
"【听后若有所思，将金钱放到了大】","","","",""
"后面几人陆陆续续放上了筹码，最终还是压大的人更多。","","","",""
"【正要开盅】——","","","",""
"——【听到一个细微的声音，紧盯庄家】","","","",""
"【左手在桌子下面动了几下】","","","",""
"开盅之后是二二三，与你之前听到的四四六不同。","","","",""
"【得意洋洋】看吧？我就说有两个二，肯定是小，你们还不信。","","","",""
"【心如死灰】我就该听你的！","","","",""
"music/zaogao.ogg","","","",""
"【忽地一把将桌子下庄家的左手拉了出来】他出老千。","","","",""
"【吓了一跳】你含血喷人！","","","",""
"【将庄家手持之物放在桌上】大家来看，骰子是铁质的，他手中拿着一块磁石，便可时刻控制大小。","","","",""
"【大怒】竟是这样？！","","","",""
"我就说怎么哪个押得多哪个就输！","","","",""
"【嚎啕大哭】骗子！你还我的钱！","","","",""
"几个赌博男眼睛红了起来，恶狠狠地看向庄家，似乎要将他吃掉一般。","","","",""
"【悄悄退出人群】","","","",""
"【强忍住心虚，辩解道】这不是我的啊，这小子是来拆台的！","","","",""
"几个赌博男","","","",""
"【将庄家按在桌子上，嘴里大声嚷嚷着】还钱！！","","","",""
"【手指轻叩桌面】你还是趁早将钱拿出来吧，省得吃苦头。","","","",""
"se/punch2.ogg","","","",""
"【伸出拳头往庄家身上招呼】你个死骗子，害我倾家荡产还不把钱还回来！","","","",""
"【抱头】你、你别什么都往我身上推！你自己走投无路入了歧途，怎么能怪我啊？又不是我逼你赌的！","","","",""
"【被戳到痛处，咬牙切齿地又抡上一拳】是！都怪我自己没本事赚不了钱，都怪我没用！","","","",""
