"Original Text","Initial","Machine translation","Better translation","Best translation"
"黎一一","","","",""
"LYY","","","",""
"LYY_tempted","","","",""
"LYY_laugh","","","",""
"LYY_normal","","","",""
"LYY_heng","","","",""
"LYY_sad","","","",""
"黎一一此时在皇宫内。","","","",""
"黎双双牺牲","","","",""
"黎一一因为黎双双之死，整日无精打采的。","","","",""
"黎一一正在参加礼仪培训，为选秀做准备。","","","",""
"黎一一还在回来的路上。","","","",""
"黎一一正在外执行任务哦！","","","",""
"黎一一在生你的气，最近并不想理你。
{color=#ff0000}（提示：需将黎一一好感度提升回正数）{/color}","","","",""
"黎双双","","","",""
"该剧情需要黎双双在场，请等她回来再进行培养。","","","",""
"music/woxihuan.ogg","","","",""
"se/closedoor.ogg","","","",""
"一一。","","","",""
"se/blmcq.ogg","","","",""
"【放下手中的枣泥糕，跳起来】","","","",""
"姐，我在！","","","",""
"恩公有任务要交给你。","","","",""
"哦哦，好！","","","",""
"跟我来。","","","",""
"风信楼一处不起眼的角落堆满了旧物，有些已经积了灰。","","","",""
"【眼睛一亮】好多东西！","","","",""
"这些都是此楼卖主不曾带走的杂物。","","","",""
"恩公说它们摆在这里既碍眼又占位，需要尽快处理掉。","","","",""
"你把有价值的分出来，我做完早膳后会把它们拿去当铺当掉。不值钱的扔掉就好。","","","",""
"行！","","","",""
"【点点头】那我去厨房了。","","","",""
"【离去】","","","",""
"se/blmcz.ogg","","","",""
"【坐下，开始分类物品】","","","",""
"【举起一件衣服，上下打量】（这个便宜点卖应该有人要。）","","","",""
"【擦了擦凳子上的灰】（这板凳也值几个钱。）","","","",""
"【嫌弃地拎起一个灰色的玩意】（这该不会是谁的臭袜子吧？）","","","",""
"se/blmcgq.ogg","","","",""
"【将袜子扔出去】","","","",""
"小半个时辰后。","","","",""
"【擦了把汗】（终于都分类好了！）","","","",""
"收工！——","","","",""
"——【瞟到角落里的一只玉镯】","","","",""
"【走过去，将镯子捡起】（差点落了一个。）","","","",""
"【用袖子擦干净】","","","",""
"（哇，好漂亮呀...）","","","",""
"【犹豫】....","","","",""
"（少了个东西，恩公也不会知道的！）","","","",""
"music/laocunfeng.ogg","","","",""
"黎一一正要将玉镯塞进怀里，便听到一声熟悉的呵斥。","","","",""
"一一！","","","",""
"【一惊】姐。","","","",""
"【又看向黎双双身后的你】（完了，被逮了个正着。）","","","",""
"......","","","",""
"【向你行礼】是双双教妹无方，请恩公原谅。","","","",""
"没有什么不妥，这本也不是我的东西，","","","",""
"没什么不妥","","","",""
"【对手指】那...","","","",""
"留着吧。","","","",""
"se/haogan.ogg","","","",""
"【高兴】谢谢恩公！","","","",""
"【点头】","","","",""
"就当是她的酬劳了。","","","",""
"酬劳","","","",""
"【惊喜】谢谢恩公！","","","",""
"【微微一笑】","","","",""
"勿以恶小而为之，这一次我就不计较了。","","","",""
"勿以恶小而为之","","","",""
"我以后定会对她多加教导。","","","",""
"【看向黎一一】","","","",""
"【识趣地把手镯放回】","","","",""
"不要让我觉得收留你们是个错误的决定。","","","",""
"错误的决定","","","",""
"【连忙把手镯放回】对不起恩公，我再也不会这样做了。","","","",""
"【心中难过】（怕是给恩公留下不好的印象了...）","","","",""
"看看你整理出来的东西吧。","","","",""
"好！","","","",""
"se/money.ogg","","","",""
"你检查过后，黎双双便把杂物带到了当铺，换了{color=#9DFF9D}300金钱{/color}。","","","",""
"都在这里了。","","","",""
"你检查过后，黎双双便把杂物带到了当铺，换了{color=#9DFF9D}500金钱{/color}。","","","",""
"你进门时，黎一一正端着一盘花生米坐在榻上，津津有味地吃着。","","","",""
"se/place.ogg","","","",""
"【看到你，连忙放下盘子】","","","",""
"【跳下榻行了个礼】恩公好！","","","",""
"【摆摆手】免礼。","","","",""
"嘿嘿，谢谢恩公！","","","",""
"【见你没有继续说话】那个...恩公找我，是有什么事吗？","","","",""
"嗯。琴棋书画、跳舞唱曲，你可会一样？","","","",""
"【挠挠头】呃，这个嘛......","","","",""
"说实话便好。","","","",""
"哦哦，实话啊...","","","",""
"嘿嘿....一个...一个都不会。","","","",""
"我猜也是。那你可对哪个感兴趣？","","","",""
"【想了一会儿】应该是琴吧！","","","",""
"我以前随爹爹去街上吆喝时，常常听到酒楼的姐儿们弹琴，可好听了！","","","",""
"【点头】那我明日就让栗子糕弄一把琴来，再请个琴师辅导你。","","","",""
"嘻嘻，一一一定不负恩公的期望！","","","",""
"se/forest.ogg","","","",""
"一只蝴蝶飞过。","","","",""
"【扑！】","","","",""
"蝴蝶灵巧地避开黎一一的魔爪，转了一圈，又飞走了。","","","",""
"（怎么就是抓不到呢？）","","","",""
"（咦，那有一只瓢虫！）","","","",""
"music/zaogao.ogg","","","",""
"黎一一玩得正起兴，忽听楼内传来一声撕心裂肺的吼。","","","",""
"琴师","","","",""
"黎一一？！你又跑到哪儿去了？！","","","",""
"【骇然】（完了，琴师先生说让我休息一刻钟，现在好像已经过去了半个时辰了。）","","","",""
"（怎么办，又要挨骂了...）","","","",""
"【灵机一动】（有了！）","","","",""
"【蹲下，在脸上和衣服上糊满泥】","","","",""
"【脸朝地趴在地上】","","","",""
"【""痛苦""地喊道】...先生！我在这儿！","","","",""
"se/walk.ogg","","","",""
"【闻声寻来】","","","",""
"se/bounce1.ogg","","","",""
"【眉毛一竖】准许你休息片刻，怎么弄成这个样子？","","","",""
"我...不..小...心滑倒了...","","","",""
"先生，我...我好...好像动不了了。","","","",""
"【一惊】（该不会摔骨折了吧？）","","","",""
"【连忙扶起黎一一】我们先进屋，看看有什么问题。","","","",""
"【一瘸一拐地跟着琴师】好，好...有劳先生了...","","","",""
"（嘻嘻！）","","","",""
"music/wodemengxiang.ogg","","","",""
"午时，黎一一和琴师在书房内坐着，静候你处理完手头上的事情。","","","",""
"【抱着琴，心中忐忑】","","","",""
"【已经猜到你请他来此的用意，暗自叹了口气】（待会[xing]老板准不会给我好脸色瞧。）","","","",""
"【放下笔】","","","",""
"【抬头】先生，久等了。","","","",""
"【连忙起身】没有，没有。","","","",""
"【跟着站起】","","","",""
"恩公今天叫我们俩过来，是要干嘛啊？","","","",""
"你学琴已有些时日了，我想看看进展。","","","",""
"【心虚得不得了】啊，要表演吗？","","","",""
"这...老板，黎一一她应该还没有准备好。","","","",""
"我只是想了解她目前的水平，尽管弹便是。","","","",""
"...是。","","","",""
"【坐好，手按在琴弦上】","","","",""
"【熟练地堵上耳朵】","","","",""
"music/steam_and_coal.ogg","","","",""
"黎一一早将琴师所授忘得彻底，此时被迫表演，硬着头皮一通乱弹。只听琴声嘈杂，弦若将断，让人顿时烦躁无比。","","","",""
"【头痛欲裂】","","","",""
"【乱拨琴弦】（完了，弹错了...完了，又错了！）","","","",""
"（我的手已经不听使唤了！）","","","",""
"【终于受不了了】停。","","","",""
"【默默停下，低着头不敢看你】","","","",""
"你也知道你弹得差劲。","","","",""
"琴","","","",""
"先生和善待人，反而使你更加任性妄为，学了这么久还不如初次碰琴的人。","","","",""
"【瞟了一眼琴师】（难道是他打的小报告——）","","","",""
"——你不用看他，他从未跟我说过你的不是。欲人勿知，莫若勿为，你偷懒时便该想到会有今天。","","","",""
"【惭愧】恩公，对不起。","","","",""
"这声对不起应该对你的老师说。","","","",""
"对老师说","","","",""
"【对琴师道】对不起先生。","","","",""
"【无奈】这...","","","",""
"不用对不起，以后认真听课就好。","","","",""
"一一知道了。","","","",""
"【欣慰】","","","",""
"【转向琴师】往后不要再惯着她，该严厉就严厉。","","","",""
"该严厉就严厉","","","",""
"【悄悄叹了口气】","","","",""
"【行礼】老夫明白。","","","",""
"【转向琴师】这就是她的学习成果？","","","",""
"舞","","","",""
"【苦笑道】黎一一没有学琴的天赋，还不够刻苦，老夫着实无能为力啊。","","","",""
"她既然不适合学琴，不如学点其他的。","","","",""
"学点其他的","","","",""
"【松了口气】（终于可以走人了！）","","","",""
"老夫也是这么认为的，她唱唱曲儿，跳跳舞应该还是可以的。","","","",""
"【颔首】辛苦了，这个月的薪水我现在结给你。","","","",""
"【行礼】多谢[xing]老板。","","","",""
"{color=#ff0000}金钱-200{/color}","","","",""
"先生...","","","",""
"唉，你以后学习用点儿心吧，别再贪玩了。人生有几回年少啊？","","","",""
"（难道不应该趁着年少多玩儿吗？）","","","",""
"恩公，不学琴了，我以后做什么啊？","","","",""
"有天赋的话我也不必请你了。","","","",""
"不必请你","","","",""
"（说得容易，教起来就是完全另一回事儿了！）","","","",""
"【强压怒气】","","","",""
"既然老板认为全是老夫之过，那这负责教她琴艺的事儿，还请另寻高明吧！","","","",""
"【摸出金钱，放到你面前】上个月的薪水，老夫尽数退还！","","","",""
"{color=#9DFF9D}金钱+200{/color}","","","",""
"先生！","","","",""
"【挥袍离去】","","","",""
"恩公...这下怎么办？我要不要把先生给追回来？","","","",""
"【揉了揉眉心】不用，你以后不必再学琴了。","","","",""
"...那我还能做什么？","","","",""
"日后再议，这些天你就在楼里帮忙罢。","","","",""
"好吧。","","","",""
"栗子糕","","","",""
"该剧情需要栗子糕在场，请等她回来再进行培养。","","","",""
"music/richang.ogg","HEY I'M CADENZA AND THIS IS A TEST","","",""
"【撑着脸颊想事儿】（楼里的活儿哪儿还需要我？有栗子和嫫儿就够了。）","","","",""
"【撑着脸颊想事儿】（楼里的活儿哪儿还需要我？栗子一个人就能全包了。）","","","",""
"（与其干坐着，不如——）","","","",""
"——【走过来】一一！","","","",""
"栗子，有什么需要我做的吗？","","","",""
"嗯嗯，主人说了，以后就由我教你跳舞。","","","",""
"跳...跳舞？我能行吗？","","","",""
"不试试怎么知道呢？来吧~","","","",""
"【演示着舞步】就是这样...往左摇...","","","",""
"（这是什么舞啊...）","","","",""
"【朝右转】这个动作做完之后，再向右——","","","",""
"se/cook.ogg","","","",""
"——窗外传来小贩的吆喝声，""烤面筋儿！1金钱一串儿！""","","","",""
"se/move.ogg","","","",""
"【顿时精神起来】（烤面筋儿！）","","","",""
"se/run1.ogg","","","",""
"【二话不说，跑出青楼】","","","",""
"不是，等等，你去哪儿呀！","","","",""
"【追出去】","","","",""
"【和黎一一坐在路边，啃着面筋】","","","",""
"【狼吞虎咽】真香！","","","",""
"【吃得停不下来，连连点头】可以再来几串儿。","","","",""
"【伸手】给钱！","","","",""
"【从怀里取出金钱】给你。","","","",""
"我去去就回！","","","",""
"【演奏完毕】先生，我这次弹得怎么样？","","","",""
"很好，很好。","","","",""
"嘿嘿。","","","",""
"【捋了捋胡子】（唉，还是老板管用哟！自从老板批评她之后，她偷懒的次数可谓是直线下降。）","","","",""
"（早知如此——）","","","",""
"【耳朵竖起来】","","","",""
"【脸色一变】（不好！她又得分神！）","","","",""
"...","","","",""
".........","","","",""
"...先生，我们接下来学哪一首曲子？","","","",""
"【松了口气】","","","",""
"我们不急着学曲子，先把指法巩固好再说。","","","",""
"知道了。","","","",""
"（坚持住，你能行！）","","","",""
"琴艺","","","",""
"se/increase.ogg","","","",""
"【黎一一获得技能】：{color=#f00}[LYYjn]{/color}","","","",""
"se/magic.ogg","","","",""
"{color=#D81C8E}解锁黎一一曲目：《渔樵问答》☆{/color}","","","",""
"输","","","",""
"最近风信楼都没有客人，无法触发该剧情。","","","",""
"该剧情需要等风信楼开张之后才能触发。","","","",""
"秦嫫儿","","","",""
"该剧情需要秦嫫儿在场，请等她回来再进行培养。","","","",""
"【端着两壶葡萄酒】（还是在楼里跑腿、端茶倒水比较适合我。）","","","",""
"【走向客人的桌子】（反正也不会有客人想看我跳舞，也不知道学来有什么用...）","","","",""
"（要是不用学就好了。）","","","",""
"【走向客人的桌子】（从来没有客人点名听我的曲子，也不知道学来有什么用...）","","","",""
"客官，您的葡萄酒。","","","",""
"公子","","","",""
"多谢。","","","",""
"少爷","","","",""
"【举起酒杯】麻烦姑娘帮忙斟满。","","","",""
"好嘞。","","","",""
"【打开盖子】","","","",""
"【倒】——","","","",""
"se/pourwater.ogg","","","",""
"——谁能想黎一一一个没控制好力度，酒水倾坛而出，泼了那少爷一身。","","","",""
"【大吼一声】","","","",""
"客人们","","","",""
"【纷纷看了过来】","","","",""
"【惊恐】我、我、我！","","","",""
"（怎么会这样！）","","","",""
"你知道葡萄酒留下的污渍有多难洗掉吗？！我这件衣服是昨天才定制的，花了我足足1000金钱！","","","",""
"对不起，对不起！我不是故意的！","","","",""
"对不起有个屁用！！","","","",""
"【挥拳】——","","","",""
"——【急匆匆跑过来】停！！！","","","",""
"【鼻孔冒烟，转向秦嫫儿】","","","",""
"您衣服的钱我们现在就赔给您，千万别动怒！动怒伤身哈！","","","",""
"【把钱给少爷】","","","",""
"【连忙跑过来】客官别生气，这是我们的不是，您衣服的钱我们这就赔给您。","","","",""
"【鼻孔冒烟】","","","",""
"{color=#ff0000}金钱-1000{/color}","","","",""
"已赊账{color=#ff0000}[temp]金钱{/color}。","","","",""
"【犯愁】（唉，什么时候才能把这钱还完啊？）","","","",""
"【心在滴血】（这么多钱能买多少笼糯米小丸子了啊...）","","","",""
"【犯愁】（姐妹们这么久的收入就这样没了。）","","","",""
"【收下钱后稍微冷静了些】......","","","",""
"哼！","","","",""
"【挥袖离去】","","","",""
"【赔笑】您慢走哈！","","","",""
"【摆出笑脸】客官慢走~","","","",""
"【作揖】不好意思，我这兄弟有些暴躁，还请姑娘们莫见怪。","","","",""
"（唉，闯大祸了！）","","","",""
"一一带给风信楼的损失，双双会负全责，争取早日将钱归还恩公。","","","",""
"【垂头】","","","",""
"她犯的错误，应该由她自己承担。","","","",""
"【一惊】我...","","","",""
"...我一个月的收入才那么一点，要几时才能把钱还给恩公啊？","","","",""
"【反问】你的收入为什么低？","","","",""
"我也不知道啊...","","","",""
"因为你的琴曲不好听，没有人愿意花钱听，所以你的收入才会低。","","","",""
"（...就算有人听也还不上那么多钱吧。）","","","",""
"你一支舞都不会跳，怎么可能会有收入？","","","",""
"（...就算会跳也还不上那么多钱吧。）","","","",""
