"Original Text","Initial","Machine translation","Better translation","Best translation"
"栗子糕","","","",""
"LZG","","","",""
"LZG_laugh","","","",""
"LZG_happy","","","",""
"LZG_normal","","","",""
"LZG_frown","","","",""
"LZG_sad","","","",""
"栗子失踪了，[shashou]和[shashou2]正在外面寻找她的踪迹！","","","",""
"栗子糕正在外执行任务哦！","","","",""
"music/woxihuan.ogg","","","",""
"se/saodi.ogg","","","",""
"【正在打扫】","","","",""
"【见你走来，眼睛眯了起来】主人，早上好！","","","",""
"【点头】你怎么在这里扫地？","","","",""
"呃...这个嘛...","","","",""
"这些琐事交给楼里的杂役就好。","","","",""
"【愣了一下】","","","",""
"【挠挠头】我可能习惯了，每天不擦擦桌扫扫地就感觉少了些什么。","","","",""
"栗子糕是容都王送给你的仆人，从六岁时就跟着你，一直负责你的饮食起居。","","","",""
"如今你们离开容都，在怀熹开始了新的任务，她也当上了“老鸨”，按理说是该享清福了，却没想到她仍是执着于打杂...","","","",""
"se/blmcq.ogg","","","",""
"【拿走扫帚】我已经雇了杂役，以后这些事情由他们来做就好。","","","",""
"【拿走扫帚】这不是你该做的事，以后不要再在这里浪费时间了。","","","",""
"可是——","","","",""
"——去做别的吧。","","","",""
"是！","","","",""
"输","","","",""
"最近风信楼都没有客人，无法触发该剧情。","","","",""
"【撑着脸颊发呆】","","","",""
"（风信楼还没有开张，一点生意都没有，主人又不让我打扫...）","","","",""
"（这一个月我要怎么打发时间呢？）","","","",""
"（我怎么总是醒得这么早呢？）","","","",""
"还要过两个时辰楼里才会来客人，主人又不让我打扫...我要怎么打发时间呢？","","","",""
"（难道就坐在这里发呆吗？）","","","",""
"【昏昏欲睡】","","","",""
"se/heartbeat.ogg","","","",""
"...","","","",""
"se/cry.ogg","","","",""
"......","","","",""
".........","","","",""
"声音","","","",""
"【哭泣】求求你，放我们一条生路吧...","","","",""
"se/blmcgq.ogg","","","",""
"【猛地惊醒】","","","",""
"【懊恼地低下头】（别想了，栗子你不要再想了！）","","","",""
"
 风信楼开张前。","","","",""
"黎一一","","","",""
"该剧情需要黎一一在场，请等她回来再进行培养。","","","",""
"黎双双","","","",""
"该剧情需要黎双双在场，请等她回来再进行培养。","","","",""
"【一字一顿地念着牌匾上的字】毓，秀，阁。","","","",""
"【转头对身后的黎氏姐妹道】这里就是怀熹风评最好、知名度最高的青楼，毓秀阁啦！","","","",""
"哇，那里面的姑娘们肯定都才貌双绝吧？好想进去看看啊！","","","",""
"【点头】或许能从中受益。","","","",""
"毓秀阁内座无虚席，才子佳人们正谈笑风生。","","","",""
"【差点被楼中的装潢闪瞎】（真够华丽的！）","","","",""
"【左看看，右看看】","","","",""
"se/move.ogg","","","",""
"这时，美妙的乐声从四面传出，舞台上走出一个红裙遮面的窈窕身影，赤着双脚，随着音乐舞动起来。","","","",""
"赵飞艳","","","",""
"【回眸一笑】","","","",""
"【忍不住惊叹】好美啊！","","","",""
"【登时对舞艺兴趣盎然】","","","",""
"se/increase.ogg","","","",""
"【栗子糕才艺】{color=#9DD1FF}额外↑2{/color}","","","",""
"老鸨","","","",""
"se/walk.ogg","","","",""
"【注意到栗子糕、黎双双和黎一一，匆匆走来】","","","",""
"【一惊】","","","",""
"【面色不善地道】毓秀阁不招待闲人。","","","",""
"【给500金钱】我们想留下来看完那位姐姐的舞。","","","",""
"se/money.ogg","","","",""
"{color=#ff0000}金钱-500{/color}","","","",""
"【收下了钱】飞艳是我们的头牌，搁往常，这点儿钱可是看不着她的舞的。","","","",""
"今天正好有位官爷点了这支舞给大家助兴，让你们沾光了。","","","",""
"（运气真好！）","","","",""
"你们几个小丫头片子就在这里站着看，别给我们惹乱。","","","",""
"知道啦，我们看完就走。","","","",""
"【扇着扇子离去】","","","",""
"赵飞艳的双眼勾魂夺目，像是个吸人魂魄的妖精，舞动间面纱轻扬露出精致的下巴，时不时的腾转将众人的眼球抓得死死。","","","",""
"一舞毕，堂中众人久久未能回神，眼中心中皆残留着那道魅惑的身影。","","","",""
"舞艺","","","",""
