"Original Text","Initial","Machine translation","Better translation","Best translation"
"聂香","","","",""
"NX","","","",""
"NX_laugh","","","",""
"NX_blush","","","",""
"NX_normal","","","",""
"NX_buxie","","","",""
"NX_heng","","","",""
"聂香正在外执行任务哦！","","","",""
"music/woxihuan.ogg","","","",""
"你来到聂香房间。","","","",""
"【看了眼坐在榻上的聂香】找我有事？","","","",""
"【也不起身】是呀。","","","",""
"【直截了当】我想管你要一张好点的琴。","","","",""
"怎么了？楼里那张坏了吗？","","","",""
"坏了吗","","","",""
"没坏，但是配不上我。","","","",""
"（...真是进来前一个样，进来后一个样。）","","","",""
"不行么，老板？","","","",""
"不如先凑合用着旧琴，等楼里有闲钱了再议吧。","","","",""
"行吧行吧，那你可别忘了啊！","","","",""
"什么人配什么琴。","","","",""
"配什么琴","","","",""
"se/bounce1.ogg","","","",""
"？？？？？","","","",""
"你这话什么意思？我还配不上好琴了我？","","","",""
"楼里那张琴音色也不差，完全配得上你现在的水平。","","","",""
"【恼羞成怒】你...你瞧不起我！","","","",""
"【转身出门】功夫不负有心人，但功夫也得放在对的地方。","","","",""
"【咬牙切齿】没钱就别装深沉！！","","","",""
"输","","","",""
"最近风信楼都没有客人，无法触发该剧情。","","","",""
"se/closedoor.ogg","","","",""
"【推开门】","","","",""
"【闻声抬头】哟~我没看错吧？本小姐前几次怎么喊都喊不动你，今日怎么回心转意了？","","","",""
"【不与她耍嘴皮，直入主题地说道】听说你今天弹琴，被人赶下台了？","","","",""
"【登时鼓起腮帮子】那是因为他们没见识！本小姐弹得那么好，他们居然还敢叫嚣？要知道以前只有我爹和我哥才有资格听我的琴！","","","",""
"我可不是要你过来享福的。","","","",""
"我就是要享福，你还能把我怎样？除非你杀了我~","","","",""
"【得意】可是你不敢！","","","",""
"如果我把你在这里的消息通知给你的父亲，你猜会怎样？","","","",""
"[xing][ming]你敢！","","","",""
"......","","","",""
"哼，随便你吧。反正我俩早就没关系了，我只要不到处说我是他的女儿给他丢脸，他就不会管我的死活。","","","",""
