"Original Text","Initial","Machine translation","Better translation","Best translation"
"秦嫫儿","","","",""
"QME1-","","","",""
"QME2-","","","",""
"QME","","","",""
"_juexin","","","",""
"_happy","","","",""
"_normal","","","",""
"_jing","","","",""
"_aware","","","",""
"秦嫫儿正在外执行任务哦！","","","",""
"输","","","",""
"最近风信楼都没有客人，无法触发该剧情。","","","",""
"music/airenwu.ogg","","","",""
"【拿着扫帚】[xing]大哥，放心吧！","","","",""
"这些活儿我从小就干，坏不了事的！","","","",""
"【颔首】那就好。","","","",""
"那我去了啊！","","","",""
"去吧。","","","",""
"大哥们让一下，我扫一下你们桌子下的花生米啊。","","","",""
"客人甲","","","",""
"呃，不用这么急吧。","","","",""
"se/saodi.ogg","","","",""
"【疯狂扫】急啊！不能让客官们处在脏乱的环境，我们这提供的可是最上等的服务。","","","",""
"客人乙","","","",""
"【试图不理会她】...刚才甲兄说到哪儿了？","","","",""
"【扫扫扫】","","","",""
"说到丙兄的字——","","","",""
"——【扫扫扫】","","","",""
"【皱眉】","","","",""
"【强行无视秦嫫儿】哦，丙兄啊。","","","",""
"我已经有数月没有跟他联络——","","","",""
"——【擦擦擦】","","","",""
"（妈的，这该死的女人竟如此抢眼！）","","","",""
"【叹了口气】有时间我们三个——","","","",""
"客官，麻烦你把屁股挪一下，我擦擦座，我看上面有一粒灰尘——","","","",""
"se/punch2.ogg","","","",""
"【暴走】麻烦你等我们走了再扫！！！！","","","",""
"se/bounce1.ogg","","","",""
"（吓死我了！）","","","",""
"好好，您别生气！","","","",""
"se/blmcq.ogg","","","",""
"【最后擦了一把座椅】","","","",""
"se/fly.ogg","","","",""
"【逃走】","","","",""
"该剧情需要黎双双学习一项技能才能触发。","","","",""
"黎双双","","","",""
"该剧情需要黎双双在场，请等她回来再进行培养。","","","",""
"music/zaogao.ogg","","","",""
"【一边看黎双双，一边勤劳地擦桌子】","","","",""
"书法","","","",""
"【擦擦擦】（黎姐真有文化，啥诗都会。）","","","",""
"唱曲","","","",""
"【擦擦擦】（黎姐声音可真好听啊，我的声音咋就这么豪迈呢？）","","","",""
"舞艺","","","",""
"【擦擦擦】（黎姐的腰咋这么细呢？）","","","",""
"【恰巧路过】","","","",""
"【看到你立马喊道】[xing]大哥！！好久不见啊！","","","",""
"客人","","","",""
"哎呀妈，吓死我了！谁啊？","","","",""
"楼里的客人们纷纷往这边看过来。","","","",""
"......","","","",""
"【低声道】不要一惊一乍的，惊扰了客人。","","","",""
"【大吃一惊，连忙捂住嘴】","","","",""
"（我不说了，不说了！）","","","",""
"se/place.ogg","","","",""
"【把花生米放在桌上】客官，你们要的花生米！","","","",""
"客人一号","","","",""
"谢谢。","","","",""
"害，客气啥？","","","",""
".....","","","",""
"【站着不走】","","","",""
"客人二号","","","",""
"【不安地看向客人一号】（她为什么还不走？）","","","",""
"【用“眼神”交流中】（不知道，可能是看上你了吧...）","","","",""
"【默默吃了一粒花生米】","","","",""
"【立马往盘子里添了一粒花生】","","","",""
"【笑容逐渐呆滞】","","","",""
"【也吃了一粒花生】","","","",""
"【又立马往盘子里添了一粒花生】","","","",""
"........","","","",""
"姑娘，请问你这是在干嘛？","","","",""
"我们这儿的花生米随便吃，不用客气！吃一粒添一粒！","","","",""
"？？？？","","","",""
"（救命！）","","","",""
"聂香","","","",""
"该剧情需要聂香在场，请等她回来再进行培养。","","","",""
"【在台上弹奏】","","","",""
"（哎呀，台下的观众真是对我目不转睛~）","","","",""
"（也不见得别人表演的时候有这么多人关注。）","","","",""
"【美滋滋】（魅力就是这么无法掩藏。）","","","",""
"观众席。","","","",""
"客人一","","","",""
"【小声道】额，后面那女的在干嘛？","","","",""
"【在聂香身后拖着地】","","","",""
"客人二","","","",""
"不知道啊，怎么在别人表演的时候拖地啊？","","","",""
"客人三","","","",""
"可能别有深意吧！","","","",""
"客人四","","","",""
"你是说，她这么做跟聂姑娘这首曲子有关？","","","",""
"不错。","","","",""
"客人们","","","",""
"【陷入沉思】","","","",""
"客人五","","","",""
"【受不了秦嫫儿了】（什么深意啊！一瞬间索然无味！）","","","",""
"你们想吧，我先溜为敬！","","","",""
"se/closedoor.ogg","","","",""
"【走了进来】","","","",""
"【大惊】[xing]大哥！","","","",""
"你怎么来了啊？","","","",""
"最近客人们抱怨连连——","","","",""
"——啥？！","","","",""
"咋会这样？我打扫时可是全身心投入的，没有半点儿偷懒！","","","",""
"【训斥一番】","","","",""
"训斥","","","",""
"【吓死】[xing]大哥，我知道错了！","","","",""
"【委婉提出让她改变行为】","","","",""
"委婉","","","",""
"se/wulei.ogg","","","",""
"他们居然会这样想？这真的不是我的本意！","","","",""
"[xing]大哥，我错了！","","","",""
"我以后再也不敢在客人们聊天的时候拖地，在姑娘们表演的时候扫地，守着花生米盘不走，大声说话——","","","",""
"——好了。","","","",""
"知道错就好。","","","",""
"【拍拍胸脯】保证不再犯了！","","","",""
"有道是路见不平拔刀相助嘛，我当时啊，飞身下台，打出了一套降龙一百八十掌！","","","",""
"天哪，太厉害了，这你都会！","","","",""
"【一听，激动地开始现场演示】","","","",""
"没错，就是这样！","","","",""
"se/crack.ogg","","","",""
"【右掌画圈】","","","",""
"【用力推】——","","","",""
