"Original Text","Initial","Machine translation","Better translation","Best translation"
"任无晴","","","",""
"RWQ","","","",""
"RWQ_happy","","","",""
"RWQ_laugh","","","",""
"RWQ_normal","","","",""
"RWQ_frown","","","",""
"RWQ_biequ","","","",""
"任无晴正在外执行任务哦！","","","",""
"栗子糕","","","",""
"该剧情需要栗子糕在场，请等她回来再进行培养。","","","",""
"music/woxihuan.ogg","","","",""
"se/closedoor.ogg","","","",""
"【从任无晴房间出来】","","","",""
"【站在门外】","","","",""
"主人，任无晴已经醒了，大夫说她这几天都需要躺着静养。","","","",""
"【点头】知道了，我去看看她。","","","",""
"好，主人小心。","","","",""
"【看到你】","","","",""
"se/blmcq.ogg","","","",""
"【挣扎起身】我娘呢？你想对她做什——","","","",""
"——伤口还想不想好了？","","","",""
"【疼地僵住】嘶！","","","",""
"我不会告诉你她们现在何处，你只需要知道，你的母亲和妹妹此刻暖衣饱食，平安无事。","","","",""
"我凭什么信你？","","","",""
"se/book.ogg","","","",""
"【拿出早就准备好的信纸和笔墨】你可以给她们写一封信，等你收到回信，再质疑我也不迟。","","","",""
"......","","","",""
"se/place.ogg","","","",""
"【放下笔】写好了。","","","",""
"【将信纸折好】我会命人把信交到她们手里的。","","","",""
"输","","","",""
"最近风信楼都没有客人，无法触发该剧情。","","","",""
"秦嫫儿","","","",""
"该剧情需要秦嫫儿在场，请等她回来再进行培养。","","","",""
"【抱臂靠在墙上，看着楼内人来人往】","","","",""
"（这帮人真是无聊！）","","","",""
"se/move.ogg","","","",""
"客人一号","","","",""
"se/bounce1.ogg","","","",""
"怎么又悔棋？！","","","",""
"客人二号","","","",""
"说得好像我悔了就能赢你一样.....","","","",""
"二兄怎么这样？咱们是讲究人，不管咋样都不能悔棋啊！","","","",""
"【嘟囔道】您老自称“棋圣”，跟我一个刚入门的玩儿到底有啥意思...","","","",""
"【也觉着没趣】哎，罢了！算了算了！","","","",""
"【看向秦嫫儿】老鸨，这桌的酒水麻烦给结个账。","","","",""
"（才喝了半杯酒就要走了？！）","","","",""
"哦...行吧，您等下——","","","",""
"【看向栗子糕】老鸨，这桌的酒水麻烦给结个账。","","","",""
"（客人才刚坐下一会儿就要走了...）","","","",""
"是，您等一下——","","","",""
"se/walk.ogg","","","",""
"——【手负在身后，走过来】听说这里有个“棋圣”？","","","",""
"【挺胸抬头】是我！","","","",""
"【识趣地让座】","","","",""
"【挥袍坐下】我陪你玩一局。","","","",""
"【兴致勃勃】那敢情好！","","","",""
"（拖一会儿是一会儿！说不定这人待会就会叫一份我们这涨价三倍的小吃呢？）","","","",""
"（任无晴看起来很会下棋，如果她能多留客人一会儿，我们的小吃就有机会多卖一份啦！）","","","",""
"一炷香的时间后。","","","",""
"【非常高兴】棋逢对手啊！这桌再上两份鸳鸯卷！","","","",""
"【早就准备好了】来了来了！！","","","",""
"【端着鸳鸯卷跑过来】来啦！","","","",""
"听说你会下棋？","","","",""
"se/jianding.ogg","","","",""
"【擦拭着匕首】本人无才无艺，只会下棋。","","","",""
"很好。","","","",""
"这段日子要是有需要陪下棋的客人，就由你去接待吧。","","","",""
"什么？","","","",""
"【耸耸肩】你听到了。","","","",""
"（被人使唤的感觉真不好！）","","","",""
"知道了。","","","",""
"棋艺","","","",""
"se/increase.ogg","","","",""
"【任无晴获得技能】：{color=#f00}[RWQjn]{/color}","","","",""
"music/laocunfeng.ogg","","","",""
"【将信纸交给任无晴】你母亲的回信。","","","",""
"【抬手接过】","","","",""
"se/flip.ogg","","","",""
"【眼神有些复杂，小心翼翼地打开信纸】","","","",""
"“无晴，往后做事一定要三思而行，莫冲动行事。母亲与你妹妹并未受委屈，现今的生活虽不如从前那般奢华，但却简单平淡，反倒顺心不少。母亲期待与你团圆的那一日。”","","","",""
"【指尖慢慢拂过纸上带着墨香的文字】（她们真的还活着...）","","","",""
"字迹是你母亲的吧？","","","",""
"嗯。","","","",""
"【将信纸收进袖内】","","","",""
"说罢，你想让我做什么？","","","",""
"任姑娘是明白人。","","","",""
"我看上的是你的武功。","","","",""
"【点头】","","","",""
"你替我办事，我允许你每个月与她们互传书信。","","","",""
"如果——","","","",""
"你表现得好了，我会考虑让你们母女团圆。","","","",""
"母女团圆","","","",""
"（看来只能听话了...我不能拿娘和妹妹的命开玩笑。）","","","",""
"你背地里搞什么小动作，别怪我对他们下手。","","","",""
"别怪我下手","","","",""
"【咬牙切齿】（这个混蛋。）","","","",""
"成交。","","","",""
"【淡淡一笑】成交。","","","",""
"se/success.ogg","","","",""
"{color=#9DD1FF}【开启了任无晴武功培训剧情√】{/color}","","","",""
"黎一一","","","",""
"该剧情需要黎一一在场，请等她回来再进行培养。","","","",""
"music/richang.ogg","HEY I'M CADENZA AND THIS IS A TEST","","",""
"【认真观察桌上你给她设的棋局】","","","",""
"（还好没有下在这里，不然就成死局了。）","","","",""
"【刚要挪动棋子】——","","","",""
"music/zaogao.ogg","","","",""
"se/blmcz.ogg","","","",""
"——【撞】","","","",""
"se/chess.ogg","","","",""
"棋盘被猛地甩在地上，棋子噼里啪啦散了一地！","","","",""
"！！！","","","",""
