"Original Text","Initial","Machine translation","Better translation","Best translation"
"十月花","","","",""
"SYH","","","",""
"SYH_laugh","","","",""
"SYH_happy","","","",""
"SYH_normal","","","",""
"SYH_jing","","","",""
"SYH_mad","","","",""
"十月花正在外执行任务哦！","","","",""
"music/caodianzhige.ogg","","","",""
"【开门见山】我可以接受你以黄婵身份居住于此，但我必须要对你有足够的了解。","","","",""
"我本名十月花，至于别的——你想知道什么？","","","",""
"(十月花明显更像是代号，她却以此为名，不像是出自寻常人家。)","","","",""
"【不再过多纠结名讳】想来你不喜欢被单方面盘问，不如我们来互相提问吧。","","","",""
"【并不作推脱，饶有兴致地问出心底的问题】你怎么认出我不是她的？还是说，你在诈我？","","","",""
"那个女子伤口过深，回天乏力，若是黄婵不会再做如此繁琐的无用功。","","","",""
"【似乎得到了出乎意料的答案，眉头拧出深深的结，转眼又松懈下来】","","","",""
"（......）","","","",""
"【询问黄婵的下落】","","","",""
"下落","","","",""
"死亡","","","",""
"黄婵如何了？","","","",""
"【理所当然道】自然是“脱胎换骨”了，现在我不是在你眼前好好地坐着吗？","","","",""
"【心中一紧】（看来黄婵在进门之际就已遭遇不测。）","","","",""
"【询问十月花的目的】","","","",""
"目的","","","",""
"你如此处心积虑地扮演黄婵，到底意图何为？","","","",""
"【抿了抿唇，面上竟露出一丝纯良的羞恼，答非所问般喃喃一句】我就是黄婵。","","","",""
"【心下疑窦丛生】（她对黄婵的执念竟有如此之深？）","","","",""
"【询问十月花是否适应】","","","",""
"适应","","","",""
"【试探问道】对这里可还满意？可有什么需要我置备打点之处？","","","",""
"【环顾四周，一副惬意满足的神情】都待了这么久了，说是半个家也不为过。要说置备，一时片刻倒也想不出什么需要的。","","","",""
"【心底咯噔一声，不知她是入戏太深还是觊觎已久，不露声色地点头】也是，是我多此一问了。","","","",""
"【询问十月花与黄婵的关系】","","","",""
"关系","","","",""
"你与黄婵究竟是什么关系？","","","",""
"【自顾自揉搓起自己的脸】[xing]公子以为呢？","","","",""
"se/magic.ogg","","","",""
"（这张脸显然并非易容，那定然与黄婵一母同胞。）
{color=#ff0}【得知了十月花的生日月！每到6月可以赠送一次礼物】{/color}","","","",""
"（这张脸显然并非易容，那定然与黄婵一母同胞。）","","","",""
"【直直看着你，语气笃定】如今我就是黄婵。","","","",""
"【心中疑惑不减反增】（双生子除却相貌本该是独立相异之人，她怎会有扮演胞胎这等匪夷所思的癖好？）","","","",""
"【定了定神，压下心中翻涌的不安与层迭的疑虑】轮到你了。","","","",""
"【一时不再言语，只托着腮歪头瞧着你，长而密的睫毛如扇般忽闪，像是要瞧出些什么花样来才罢休】","","","",""
"那张清丽面庞虽与黄婵一般无二，却褪去了几分荣辱不惊的平和泰然，细看下，倒更像是多了些不经人事的天真与恣意。","","","",""
"可她的举止做派人人有目共睹，那些令人唾骂愤恨到群起而攻之的龌龊事无一不是她冒名所犯。","","","",""
"【不由得涌起一股说不清道不明的怪异感，混着不安一同在心底作祟】","","","",""
"【思考良久后还是摇了摇头】我没有什么想再问的了。","","","",""
"你这才惊觉自己过于被动，她在暗而你在明，她对风信楼了如指掌，而你却对她一无所知。","","","",""
