"Original Text","Initial","Machine translation","Better translation","Best translation"
"吴氏","","","",""
"WFR","","","",""
"WFR_happy","","","",""
"WFR_normal","","","",""
"WFR_frown","","","",""
"WFR_mad","","","",""
"洗白","","","",""
"WFR_sad","","","",""
"吴氏正在外执行任务哦！","","","",""
"music/shatanheni.ogg","","","",""
"【看着窗外出神】","","","",""
"【双手负在身后】不介意的话，讲讲你的事情吧。","","","",""
"吴氏没有因为你突然的出现而害怕，她淡定地，缓缓转身。","","","",""
"不介意。","","","",""
"我年轻的时候是村里的一枝花，追我的人数都数不过来。可是啊，我只喜欢我青梅竹马的孙哥哥。","","","",""
"【淡淡一笑】可惜孙哥哥穷，我不介意，我父亲介意。","","","",""
"我父亲因为一百金钱把我许给了铁匠铺的熊富贵，我无力反抗，只得顺从他的安排。","","","",""
"在熊富贵那里我饱受折磨，常被他殴打，于是我就向孙哥哥求救，然而那时他已经娶了别人，再无暇管我。","","","",""
"这一晃就是四年过去了，我以为我一辈子也就这样了，谁知姓高的却在这时路过了我们村...","","","",""
"他看上了还算有些姿色的我，就在暗地里使了些钱，给我丈夫弄了出“意外身亡”。","","","",""
"村里的人都说是我不检点，勾引了高典史，才导致了熊富贵的死。","","","",""
"你怎么知道是高典史做的手脚？","","","",""
"质疑","","","",""
"姓高的为我在村里逗留了数月，说是不带走我就不罢休。后来熊富贵死了，大家都说是高典史做的...难道还有别的可能吗？","","","",""
"【心生怜悯】（她身边都是这样的人，实在可怜。）","","","",""
"相信","","","",""
"【抹了几滴泪】我真是命苦...","","","",""
"【继续说道】熊富贵死了后，我父亲那个一辈子没见过钱的死老头竟主动找了高典史。","","","",""
"我父亲知道姓高的是个当官的、家里有数不尽的钱，早在熊富贵还活着的时候就动了把我转卖给高典史的念头。","","","",""
"熊富贵的死正合他意，丧期一过便让高典史把我娶回了威县。","","","",""
"我本以为威县会是一个新的开始，却没想到他对我好了几个月后就腻了，开始嫌我烦，任由他已故妻子的两个儿子欺负我。","","","",""
"姓高的死后，高大少爷当了家，自然不会继续留我在家中。","","","",""
"我本就做好了离开的准备，却没想到他竟叫家仆们把我卖进了青楼......","","","",""
"吴氏说到这里，再次背过身，轻轻抽泣起来，似乎不愿多说了。","","","",""
"music/woxihuan.ogg","","","",""
"【走进房间】","","","",""
"【行了个礼】东家。","","","",""
"看样子你是缓过来了。","","","",""
"是的。","","","",""
"那你想好接下来的事了吗？","","","",""
"想好了。我就算不当你们这里最红的女人，也要让我每一个客人都离不开我这个温柔乡，赏给我使不完的金钱。","","","",""
"青楼不是妓院，大多客人来此只为寻求风雅，光凭美貌是留不住客人的。你可有什么才艺吗？","","","",""
"没有，但是谁一开始就什么都会？我什么都能学，而且学得很快。","","","",""
"那你说说，你想学什么？","","","",""
"5000","","","",""
"我听你的。","","","",""
"就唱曲吧。","","","",""
"【轻笑】嗯，幸好我五音还算全。","","","",""
"唱曲","","","",""
"se/increase.ogg","","","",""
"【吴氏获得技能】：{color=#f00}[WFRjn]{/color}","","","",""
"se/magic.ogg","","","",""
"{color=#D81C8E}解锁吴氏曲目：《野有蔓草》☆{/color}","","","",""
"就棋艺吧。","","","",""
"好，我一直想学下棋，到时东家可要多加指点。","","","",""
"没问题。","","","",""
"棋艺","","","",""
"你喜欢什么？","","","",""
"【如实回道】我喜欢舞，身段也适合跳舞。","","","",""
"【颔首】那就学舞。","","","",""
"是。","","","",""
"舞艺","","","",""
"{color=#D81C8E}解锁吴氏曲目：《胡旋舞》☆{/color}","","","",""
"舞吧。","","","",""
"我喜欢舞，身段也适合跳舞。","","","",""
"黎一一","","","",""
"该剧情需要黎一一在场，请等她回来再进行培养。","","","",""
"栗子糕","","","",""
"该剧情需要栗子糕在场，请等她回来再进行培养。","","","",""
"黎双双","","","",""
"该剧情需要黎双双在场，请等她回来再进行培养。","","","",""
"【唱曲中】渊冰厚三尺，素雪覆千里。","","","",""
"【歌声婉转】我心如松柏...","","","",""
"君情复何似？","","","",""
"【手负在身后看着】","","","",""
"（虽然音色不够突出，但是歌声中饱含了太多的感情，反倒更为动人。）","","","",""
"（自古称得上好的唱曲人，皆是唱出心声，先感动自己而后感动听者，她看来已初具风范。）","","","",""
"【望着棋局思考】","","","",""
"se/closedoor.ogg","","","",""
"【走进门】还没想好？","","","",""
"【抬头看你】东家这棋局设的可比书上的都要难多了。","","","",""
"唉，一转眼太阳都要落山了，奴家还是一事无成...","","","",""
"se/blmcq.ogg","","","",""
"【坐下】不会，你思考的时候就是在进步。","","","",""
"我陪你下一盘吧。","","","",""
"好~","","","",""
"【正在练舞】","","","",""
"【听到推门声】","","","",""
"【没有停下舞动的身姿，只是一边踏着舞步，一边向你靠近】东家，这舞裙好看么？","","","",""
"【客观地道】很合身。","","","",""
"【咯咯笑】东家你坐下，奴家给你跳一支。","","","",""
"也好，看看你的长进。","","","",""
"【坐下】","","","",""
"【柳腰扭动，勾手弯臂在你面前翩翩起舞】","","","",""
"se/cicada.ogg","","","",""
"弯月拢着光洒落一地，静静照着风信楼关着的门板。","","","",""
"se/walk.ogg","","","",""
"【抱着舞谱从房间走出来】","","","",""
"（屋子太小，施展不开，趁楼里没人，找个宽敞的地儿再练练。）","","","",""
"【抱着词谱从房间走出来】","","","",""
"（这词用当地方言唱出来才好听，我是怎么唱怎么别扭...不知东家会不会说？）","","","",""
"【捧着棋盘从房间走出来】","","","",""
"（跟这棋局拗了一整天，总算把它给破了。不知东家是不是已经睡下了？）","","","",""
"music/chaoyuehuanjue.ogg","","","",""
"另一侧，黎一一轻手轻脚的将厨房的门开了个缝隙，闪身溜了出来。","","","",""
"【腮帮子鼓鼓的】（我就偷吃一个鸳鸯卷，就一个！忍住，不要再回去——）","","","",""
"se/punch2.ogg","","","",""
"——【一头撞到吴氏身上】啊哟！","","","",""
"【倒退几步后，警惕的看着眼前突然出现的人】","","","",""
"【看清来者，面色稍缓】（吓我一跳。）","","","",""
"【伸手去摸黎一一脑门】妹妹，你没事吧？","","","",""
