"Original Text","Initial","Machine translation","Better translation","Best translation"
"无","jhjhj","hjhjh","",""
"结束","","","",""
"show","","","",""
"yangcheng","","","",""
"huodong","","","",""
"caiyi","","","",""
"wugong","","","",""
"shouxia","","","",""
"xinxi","","","",""
"caiyi2","","","",""
"wugong2","","","",""
"jichang","","","",""
"guanli","","","",""
"qbanshijian","","","",""
"images/yangchengbg.jpg","","","",""
"gui/button/BT_guanli_%s.png","","","",""
"gui/button/BT_caiyi_%s.png","","","",""
"gui/button/BT_wugong_%s.png","","","",""
"gui/button/BT_huodong_%s.png","","","",""
"gui/button/BT_jichang_%s.png","","","",""
"oldJC","","","",""
"gui/button/BT_shouxia_%s.png","","","",""
"WHOsx","","","",""
"reddot","","","",""
"downdown","","","",""
"gui/button/BT_jieshu_%s.png","","","",""
"monthly","","","",""
"{color=#cc3300}{size=+22}[tili]{/color}","","","",""
"tilistyle","","","",""
"gui/button/BT_bangzhu_%s.png","","","",""
"bangzhu","","","",""
"gui/button/qh_%s.png","","","",""
"qh1","","","",""
"qh0","","","",""
"gui/button/BT_chakanrw_%s.png","","","",""
"renwutishi","","","",""
"gui/button/BT_waichu_%s.png","","","",""
"waichu","","","",""
"gui/button/BT_waichu_idle.png","","","",""
"gui/button/BT_chazhang_%s.png","","","",""
"chazhang","","","",""
"gui/button/BT_chakanqumu_%s.png","","","",""
"qumu","","","",""
"gui/button/BT_bimenzaopu_%s.png","","","",""
"bimenzaopu","","","",""
"gui/button/BT_chakanweituo_%s.png","","","",""
"chakanweituo","","","",""
"gui/button/BT_chakanweituo_idle.png","","","",""
"gui/button/BT_manglitouxian_%s.png","","","",""
"manglitouxian","","","",""
"任无晴","","","",""
"放弃黎双双","","","",""
"images/face/Q_[mltx_biaoqing].png","","","",""
"mltx_cover","","","",""
"heart","","","",""
"greyheart","","","",""
"gui/button/BT_jubanyanxi_%s.png","","","",""
"jubanyanxi","","","",""
"gui/button/BT_touzi_%s.png","","","",""
"touzi","","","",""
"gui/button/BT_zhibanren_%s.png","","","",""
"zhibanren","","","",""
"zhibanrentishi","","","",""
"tx","","","",""
"QME","","","",""
"images/face/QME[QMEzr]-[ZBpf].png","","","",""
"images/face/[zhibanren][ZBpf].png","","","",""
"zhiban_tupoqian","","","",""
"全员心情↓5 聂香才艺魅力↑2","","","",""
"{size=-4}[ZBjiacheng]{/size}","","","",""
"zhibanstyle","","","",""
"[ZBjiacheng]","","","",""
"突破后","","","",""
"zhiban_tupohou2","","","",""
"[ZBjiacheng2]","","","",""
"zhiban_tupohou1","","","",""
"{color=#BEBAB9}[ZBjiacheng2]{/color}","","","",""
"images/bar_jinqian.png","","","",""
"help_jinqian","","","",""
"images/bar_yueshouru.png","","","",""
"help_yueshouru","","","",""
"images/bar_yuezhichu.png","","","",""
"help_yuezhichu","","","",""
"images/bar_zhaiwu.png","","","",""
"help_zhaiwu","","","",""
"images/bar_mingqi.png","","","",""
"help_mingqi","","","",""
"images/bar_koubei.png","","","",""
"help_koubei","","","",""
"images/bar_yinbi.png","","","",""
"help_yinbi","","","",""
"images/bar_toupai.png","","","",""
"help_toupai","","","",""
"images/bar_hongfu.png","","","",""
"help_hongfu","","","",""
"yinbitishi1","","","",""
"yinbitishi2","","","",""
"{size=+5}[money]{/size}","","","",""
"yangrendong.ttf","","","",""
"{size=+5}{color=#CD87D0}[shouru]{/color}{/size}","","","",""
"{size=+5}{color=#E46248}[shouru]{/color}{/size}","","","",""
"{size=+5}[shouru]{/size}","","","",""
"{size=+5}{color=#E46248}[zhichu]{/color}{/size}","","","",""
"{size=+5}{color=#CD87D0}[zhichu]{/color}{/size}","","","",""
"{size=+5}[zhichu]{/size}","","","",""
"{size=+5}{color=#E46248}[zhaiwu]{/color}{/size}","","","",""
"{size=+5}[mingqi]{/size}","","","",""
"{size=+5}[koubei]{/size}","","","",""
"{size=+5}[yinbizhi]{/size}","","","",""
"{size=+5}[toupai]{/size}","","","",""
"{size=+5}[hongfu]{/size}","","","",""
"qumubg","","","",""
"c r","","","",""
"vp","","","",""
"QMxiaoxing","","","",""
"QMlizi","","","",""
"QMlizi2","","","",""
"QMlocked","","","",""
"QMmeishi","","","",""
"QMmeishi2","","","",""
"QMlingganni","","","",""
"QMlingganni2","","","",""
"QMsanjin","","","",""
"QMsanjin2","","","",""
"QMjianjia","","","",""
"QMjianjia2","","","",""
"QMyeyou","","","",""
"QMyeyou2","","","",""
"QMguqin","","","",""
"QMguqin2","","","",""
"QMdongting","","","",""
"QMdongting2","","","",""
"QMyuqiao","","","",""
"QMyuqiao2","","","",""
"QMchunjiang","","","",""
"QMchunjiang2","","","",""
"QMchangxiu","","","",""
"QMchangxiu2","","","",""
"QMmeihua","","","",""
"QMmeihua2","","","",""
"QMzhaoqian","","","",""
"QMzhaoqian2","","","",""
"QMxi","","","",""
"QMxi2","","","",""
"QMyangchun","","","",""
"QMyangchun2","","","",""
"QMershisi","","","",""
"QMershisi2","","","",""
"QMliushui","","","",""
"QMliushui2","","","",""
"QMzuoyao","","","",""
"QMhuxuan","","","",""
"QMhuxuan2","","","",""
"QMyouli","","","",""
"QMyouli2","","","",""
"QMyouyu","","","",""
"QMyouyu2","","","",""
"QMshuishe","","","",""
"QMshuishe2","","","",""
"QMniuyang","","","",""
"QMniuyang2","","","",""
"QMfeixue","","","",""
"QMfeixue2","","","",""
"QMshimian","","","",""
"QMshimian2","","","",""
"QManye","","","",""
"QManye2","","","",""
"QMfenghuo","","","",""
"QMfenghuo2","","","",""
"QMneigongxinfa","","","",""
"QMneigongxinfa2","","","",""
"QMqiankun","","","",""
"QMqiankun2","","","",""
"QMjixing","","","",""
"QMjixing2","","","",""
"QMbaicao","","","",""
"QMbaicao2","","","",""
"QMyannianhao","","","",""
"QMyannianhao2","","","",""
"QMdingxin","","","",""
"QMdingxin2","","","",""
"QMxiaoqiao","","","",""
"QMxiaoqiao2","","","",""
"QMzuijie","","","",""
"QMzuijie2","","","",""
"QMdanggui","","","",""
"QMdanggui2","","","",""
"QMwuming","","","",""
"QMwuming2","","","",""
"QMshuangtong","","","",""
"QMshuangtong2","","","",""
"QMzichun","","","",""
"QMzichun2","","","",""
"QMyang","","","",""
"QMyang2","","","",""
"QMbaiyun","","","",""
"QMbaiyun2","","","",""
"QMmingzhu","","","",""
"QMmingzhu2","","","",""
"QMfengyue","","","",""
"QMfengyue2","","","",""
"QMliangxiang","","","",""
"QMliangxiang2","","","",""
"QMzhuyangai","","","",""
"QMzhuyangai2","","","",""
"QMbanjun","","","",""
"QMbanjun2","","","",""
"QMwanli","","","",""
"QMwanli2","","","",""
"QMtianchang","","","",""
"本月京城客人喜欢的风格：{image=images/QM[cat1].png} > {image=images/QM[cat2].png} > {image=images/QM[cat3].png}","","","",""
"putong","","","",""
"本月京城客人喜欢的风格：{image=images/QM[cat1].png} > {image=images/QM[cat2].png}","","","",""
"本月京城客人喜欢的风格：{image=images/QM[cat1].png}","","","",""
"gui/button/BT_question_%s.png","","","",""
"help_qumu","","","",""
"gui/button/BT_escyoujian_%s.png","","","",""
"K_ESCAPE","","","",""
"currentscreen","","","",""
"guanlijiemian","","","",""
"kongxian2","","","",""
"kongxian","","","",""
"images/face/QME[QMEzr]-[QMEpf].png","","","",""
"images/face/[PX1sx][PX1pf].png","","","",""
"images/face/[PX2sx][PX2pf].png","","","",""
"images/face/[PX3sx][PX3pf].png","","","",""
"zidongpeixun","","","",""
"peixunoverlay","","","",""
"{color=#663300}{size=+4}[money]{/color}{/size}","","","",""
"dmioutline","","","",""
"gui/button/BT_tishengxuanchuan_%s.png","","","",""
"xuanchuan","","","",""
"gui/button/BT_zuoqubianwu_%s.png","","","",""
"zuoqu","","","",""
"gui/button/BT_tishengyinbi_%s.png","","","",""
"jiancha","","","",""
"gui/button/BT_shengjiqinglou_%s.png","","","",""
"shengji","","","",""
"gui/button/BT_pxanniu_%s.png","","","",""
"peixun1","","","",""
"peixun2","","","",""
"peixun3","","","",""
"才艺","","","",""
"caiyimeiyue","","","",""
"魅力","","","",""
"meilimeiyue","","","",""
"武功","","","",""
"wugongmeiyue","","","",""
"level2unlock","","","",""
"level3unlock","","","",""
"level4unlock","","","",""
"{color=#81635D}{size=-6}+[PX1ds]{/size}{/color}","","","",""
"{color=#81635D}{size=-6}+[PX2ds]{/size}{/color}","","","",""
"{color=#81635D}{size=-6}+[PX3ds]{/size}{/color}","","","",""
"images/qinglou[dengji].png","","","",""
"help_guanli","","","",""
"caiyijiemian","","","",""
"gui/button/BT_weihuode_%s.png","","","",""
"who","","","",""
"WHOcy","","","",""
"LZGtx","","","",""
"0","","","",""
"images/face/[sx1][LZGpf].png","","","",""
"images/face/[sx2PF].png","","","",""
"images/face/[sx3PF].png","","","",""
"images/face/[sx4PF].png","","","",""
"images/face/[sx5PF].png","","","",""
"images/face/[sx6PF].png","","","",""
"circle_mask","","","",""
"cy1_half","","","",""
"#0000","","","",""
"cy1","","","",""
"cy2_half","","","",""
"cy2","","","",""
"RWQ","","","",""
"给了","","","",""
"武林高手","","","",""
"YL","","","",""
"改变风格","","","",""
"自信低","","","",""
"gui/button/BT_zuojian_%s.png","","","",""
"yeshu","","","",""
"gui/button/BT_youjian_%s.png","","","",""
"help_caiyi","","","",""
"images/face/[sx7PF].png","","","",""
"images/face/[sx8PF].png","","","",""
"images/face/[sx9PF].png","","","",""
"images/face/[sx10PF].png","","","",""
"images/face/[sx11PF].png","","","",""
"images/face/[sx12PF].png","","","",""
"wugongjiemian","","","",""
"WHOwg","","","",""
"wg1_half","","","",""
"wg1","","","",""
"wg2_half","","","",""
"wg2","","","",""
"NX","","","",""
"XY","","","",""
"已过","","","",""
"JJ","","","",""
"help_wugong","","","",""
"badwage","","","",""
"hide","","","",""
"qshuohua","","","",""
"sxqipao","","","",""
"currentXS","","","",""
"shouxiajiemian","","","",""
"XSprefer","","","",""
"none","","","",""
"sxcover","","","",""
"sxselected","","","",""
"[LZGprefer]","","","",""
"[sx2prefer]","","","",""
"[sx3prefer]","","","",""
"[sx4prefer]","","","",""
"[sx5prefer]","","","",""
"[sx6prefer]","","","",""
"[sx7prefer]","","","",""
"[sx8prefer]","","","",""
"[sx9prefer]","","","",""
"[sx10prefer]","","","",""
"[sx11prefer]","","","",""
"[sx12prefer]","","","",""
"help_shouxia","","","",""
"秦嫫儿","","","",""
"images/face/QME[QMEzr]-[QMEpf]v.png","","","",""
"images/face/[WHOtx]v.png","","","",""
"images/face/[WHOtx].png","","","",""
"{size=-3}{color=#d25246}[WHOjn]{/color}{/size}","","","",""
"mioutline","","","",""
"{color=#381414}{size=+8}[WHOname]{/size}{/color}","","","",""
"玉漏","","","",""
"黄婵","","","",""
"fourhalf","","","",""
"onehalf","","","",""
"images/3star.png","","","",""
"images/[WHOstar]star.png","","","",""
"{color=#381414}[WHOcy] / 100{/color}","","","",""
"{color=#381414}[WHOcy] / 850{/color}","","","",""
"{color=#381414}%s / [WHOmax]{/color}","","","",""
"{color=#381414}[WHOwg] / 750{/color}","","","",""
"{color=#381414}[WHOwg] / 850{/color}","","","",""
"{color=#381414}[WHOwg] / [QMEwg_max]{/color}","","","",""
"黎一一","","","",""
"{color=#381414}[WHOwg] / [LYYwg_max]{/color}","","","",""
"栗子糕","","","",""
"{color=#381414}[WHOwg] / [LZGwg_max]{/color}","","","",""
"{color=#381414}[WHOwg] / [WHOmax]{/color}","","","",""
"{color=#381414}[WHOwm] / 100{/color}","","","",""
"{color=#381414}[WHOwm] / 850{/color}","","","",""
"{color=#381414}[WHOwm] / [WHOmax]{/color}","","","",""
"{color=#381414}[WHOxq]{/color}","","","",""
"{color=#381414}[WHOhg]{/color}","","","",""
"{color=#381414}[WHOgz]{/color}","","","",""
"upup","","","",""
"up","","","",""
"down","","","",""
"nothere","","","",""
"vslider","","","",""
"gui/slider/vertical_grey_bar.png","","","",""
"gui/slider/vertical_grey_thumb.png","","","",""
"WHOxs","","","",""
"refreshXS","","","",""
"gui/slider/vertical_idle_bar.png","","","",""
"gui/slider/vertical_idle_thumb.png","","","",""
"images/face/Q_[qbiaoqing].png","","","",""
"sr_jiuyue","","","",""
"sr_shiyue","","","",""
"黎双双","","","",""
"sr_qiyue","","","",""
"聂香","","","",""
"sr_sanyue","","","",""
"吴氏","","","",""
"sr_wuyue","","","",""
"sr_yiyue","","","",""
"夕芸","","","",""
"sr_bayue","","","",""
