"Original Text","Initial","Machine translation","Better translation","Best translation"
"music/senlinyu.ogg","","","",""
"阳光透过铁质的栏杆从四方小窗照了进来，散落在你身上。","","","",""
"这已经是你在牢内度过的第十四天了。","","","",""
"【盘坐在牢房潮湿的地上】","","","",""
"不出一个月，这里的消息定会传到容都，现在只要和姑娘们在牢中安心等待，到时候自有王爷来救你们出去。","","","",""
"（可是，我连一个青楼都未能维持下去，王爷以后还会重用我吗？）","","","",""
"se/unlock.ogg","","","",""
"{color=#708090}【达成中途失败结局：欠债半年】{/color}","","","",""
"无","","","",""
"帮助：是否切换为{color=#F0D800}【无敌模式】{/color}跳过失败结局，继续游戏？无敌模式可以从{color=#DE68FD}特殊事件中的“修改命簿”{/color}里自由修改金钱和属性，因此{color=#ff0000}无法获得数值类成就{/color}。","","","",""
"【确认切换】我只想看剧情！","","","",""
"se/magic.ogg","","","",""
"{color=#F0D800}切换成功√{/color}
背包中的金钱和物品已更新！","","","",""
"【返回标题界面】我要继续挑战！","","","",""
"是否使用{color=#F0D800}免死金牌{/color}继续游戏？（无敌模式可无限使用免死金牌）","","","",""
"【是，继续游戏】","","","",""
"【返回标题界面】","","","",""
"music/132-chongfeng.ogg","","","",""
"吴氏","","","",""
"聂香","","","",""
"music/richang.ogg","HEY I'M CADENZA AND THIS IS A TEST","","",""
"se/closedoor.ogg","","","",""
"【也不等你说“请进”，便擅自推门而入】[persistent.weiyansaodi]，本小姐要买只簪子，还缺500金，你先替我垫上。","","","",""
"【皱眉】（...这聂香也太不把我放在眼里了。）","","","",""
"你前天刚从我这里拿了1000金说要去做套新衣服，昨天拿了300金说去修琴——","","","",""
"——【不耐烦地打断你的话】你怎么那么多话？本小姐赚得钱多，吃穿用当然都要最好的，有什么问题？","","","",""
"你就说给不给吧。","","","",""
"【无奈地摇了摇头】你去找栗子支钱吧。","","","",""
"这不就得了？多谢老板~","","","",""
"【开心地哼着小曲离去】","","","",""
"se/move.ogg","","","",""
"【拦住正要上楼送茶的栗子糕】[persistent.weiyansaodi]让你支500金给我，我要去买个簪子。","","","",""
"簪、簪子？","","","",""
"可是这个月我们的支出已经比预算多很多了——","","","",""
"——怎么，你主人的话你都不听了？","","","",""
"【不情不愿地拿出500金】那聂姑娘省着点花吧...","","","",""
"se/blmcgq.ogg","","","",""
"【一把抢走钱袋】行，知道了。","","","",""
"【悄悄叹了口气】（照这样下去，楼里不爱闹的姐妹们要怎么生活呢？）","","","",""
"se/walk.ogg","","","",""
"【在楼上看到了这一幕，默默地走开了】","","","",""
"music/shatanheni.ogg","","","",""
"黎双双在","","","",""
"se/place.ogg","","","",""
"【将晚膳一一摆放在桌子上】","","","",""
"黎一一在","","","",""
"【看着桌上的饭菜，顿时失了食欲】（最近的伙食越来越差了...）","","","",""
"【摸着自己的新发簪，迈进楼里】今天的晚饭吃什么呀？","","","",""
"聂姑娘回来了！咱们可以开饭了。","","","",""
"【颔首】动筷吧。","","","",""
"【话中有话】妹妹这个新发簪倒是别致。","","","",""
"那可不？本小姐的眼光就没差过。","","","",""
"【淡淡一笑】","","","",""
"【晃悠到桌子前】——","","","",""
"——【脸顿时垮了下来】你们什么意思，晚饭就让本小姐吃这些？","","","",""
"只见桌子上放的都是清炒土豆丝、小白菜炖豆腐这类的家常素菜，半分油荤都见不到。","","","",""
"我们楼居然困难到这种地步了吗？","","","",""
"【小声嘟囔】还不都怪你和——","","","",""
"——【偷偷瞟了一眼你，把话咽了下去】","","","",""
"【解释道】聂姑娘已经花掉我们这个月的伙食费了，所以我们暂时只有素菜吃了。","","","",""
"哼，我哪儿知道每个月的伙食费有多少啊？","","","",""
"【甩锅】我看[persistent.weiyansaodi]那么爽快地给我钱，还以为我们楼里宽裕得很呢。","","","",""
"【低下头，戳了戳饭菜】.......","","","",""
"好了，大家吃饭吧。","","","",""
"你们自己吃吧，本小姐出去吃好的了。","","","",""
"【转身又出了门】","","","",""
"【放下筷子叹了一口气】罢了，她就这个性子，我们先吃吧。","","","",""
"【慢慢垂下了目光，掩饰自己心中万千思绪】（这个东家完全管不住手下，只怕日后难以服众，不可能成大事。）","","","",""
"【脑内飞速运转】（我若跟着他就是明知火坑还往里跳了...）","","","",""
"se/opendoor.ogg","","","",""
"【轻轻地关上门】聂妹妹，我有一件事想跟你说。","","","",""
"【打了个哈欠】有事儿明天在说吧——","","","",""
"——【眼神坚定，不容拒绝】这件事你一定会想知道的。","","","",""
".......","","","",""
"se/suspense.ogg","","","",""
"【霍地站起身】[persistent.weiyansaodi]想要自己当皇帝？！","","","",""
"没发现","","","",""
"【见她如此反应，知道自己所猜不假，微微一笑】","","","",""
"【自知失态，镇定了一下】你和我说这些有什么用？","","","",""
"我来找你自然是已经有了十足的证据...妹妹你也不想聂将军出什么事吧？","","","",""
"（她果然发现了我和爹爹的事情...）","","","",""
"我凭什么信你？","","","",""
"se/book.ogg","","","",""
"【从怀中取出一封信】我既然能知道聂姑娘你是王爷派来的，自然有所准备，你先看过这封信再做决断吧。","","","",""
"【自知失态，镇定了一下】空口无凭，我凭什么信你？","","","",""
"【从怀中取出一封信】你先看过这封信再做决断吧。","","","",""
"se/flip.ogg","","","",""
"这封信上记载了你和谋士平时的交流——只怪你平日里没有丝毫威严，虽反复和她们说不要随意进出你书房，但并没有起什么作用。","","","",""
"【看完了信，背后凉飕飕的】（幸亏我知晓此事，不然事成之后我爹恐怕要尸骨无存。）","","","",""
"【抬头看向吴氏】说吧，你想要什么条件？","","","",""
"一笔足够我花一辈子的钱，然后送我出京。","","","",""
"【点点头】好，我答应你。","","","",""
"三日后的早晨，吴氏和聂香已是不见踪影。","","","",""
"【看了一眼吴氏空荡荡的房间】（奇怪，吴姐姐和聂姑娘一大早上的去了哪里？也不跟我报备一声...）","","","",""
"【叹了口气，正准备离开】——","","","",""
"——【注意到一封放在门口的信】（这是...？）","","","",""
"【俯下身将信件捡起】（难道是吴姐姐给我留得？）","","","",""
"【展开信件】","","","",""
"【提笔蘸了蘸墨】“谋反一事，王爷已然知晓...”","","","",""
"【一笔一划地写着】“...若想保命，速速离京。”","","","",""
"【写完信后，放下毛笔】（东家啊东家，莫怪奴家无情...）","","","",""
"（...但愿你能看到这封信，保住性命，也算是奴家还了你买下我的人情了。）","","","",""
"se/jing.ogg","","","",""
"（王爷...主人...）","","","",""
"（不行，我得赶紧去通知主人！）","","","",""
"【急匆匆地闯进书房】主人，不好了！","","","",""
"发生什么事了？这么着急。","","","",""
"【将吴氏的信塞到你手里】","","","",""
"【看完后心中一凉】（怕是事情泄露了。）","","","",""
