"Original Text","Initial","Machine translation","Better translation","Best translation"
"music/richang.ogg","HEY I'M CADENZA AND THIS IS A TEST","","",""
"主人，再过一个月就又要过年啦。","","","",""
"music/diyicizuotangguo.ogg","","","",""
"se/laundry.ogg","","","",""
"【在厨房清洗器具】","","","",""
"【看到你，一笑】公子，新年快乐~","","","",""
"夕芸待会就去公子的屋里扫尘~","","","",""
"【微微一笑】新年快乐。","","","",""
"se/douyifu.ogg","","","",""
"【换洗窗帘和被褥】","","","",""
"东家，帮忙拽一下被单~","","","",""
"好。","","","",""
"se/saodi.ogg","","","",""
"【拿着大长扫把戳房梁】","","","",""
"[xing]大哥你看，这扫把是我自个儿用木棍扎出来的！厉不厉害？","","","",""
"厉——","","","",""
"se/punch2.ogg","","","",""
"——【手一滑，被扫把砸到头】哇啊啊！疼死我了！","","","",""
"......","","","",""
"se/blmcq.ogg","","","",""
"【拿着掸子拂拭桌椅】","","","",""
"【贴福字和门神】","","","",""
"【嗑瓜子】","","","",""
"【扫着掉落在地上的瓜子】","","","",""
"【下楼】大家都辛苦了。","","","",""
"【随便抱了个拳】","","","",""
"过年大扫除是开心的，没什么辛不辛苦。","","","",""
"是的，不辛苦不辛苦。","","","",""
"【打了个哈欠】不辛苦，多谢关心。","","","",""
"【看了眼聂香】你当然不辛苦。","","","",""
"【不理你，继续嗑瓜子】","","","",""
"se/closedoor.ogg","","","",""
"【跑进门】","","","",""
"我回来啦！","","","",""
"【把买回来的东西给你】主人，你要的东西全在这里。","","","",""
"【收下】","","","",""
"【走过来】栗子，买春联了吗？","","","",""
"买了买了！","","","",""
"【从袋子里拎出[temp]对春联】一人一对！","","","",""
"【擦着桌子，探头过来】怎么上面都没有字？","","","",""
"唔...往年都是买现成的，今年换个花样嘛，咱们自己人写才有意思！","","","",""
"才不是这样，你就是想省钱。","","","",""
"【跺脚】你知道就知道，不要说出来！","","","",""
"哈哈哈哈！","","","",""
"【修着指甲】今年的春联还要自己写吗？那你们写吧，反正我不写。","","","",""
"书法","","","",""
"你不想写吗？那可以让双双姐写！","","","",""
"双双姐可是专门学书法的呢，字写得可好看了。","","","",""
"【摇头】我的书法比不上恩公，还是让恩公写吧。","","","",""
"【歪头】为什么不写？","","","",""
"你是我们这里唯一的大家闺秀，我本来还打算让你负责写的呢！","","","",""
"【吹了吹指甲】反正我就是不写。","","","",""
"[xing][ming]不是自诩才华横溢吗？让他写吧。","","","",""
"【看你】","","","",""
"...那不如我们各写各的吧？","","","",""
"【提议】我们各写各的吧，正好一人一对。","","","",""
"我没有异议。","","","",""
"我也没有！","","","",""
"我觉得这个建议不错！","","","",""
"【无奈】可是我的字实在是不好看啊...","","","",""
"se/walk.ogg","","","",""
"【走下楼】什么好不好看呀？","","","",""
"夕芸姐，我们在准备写春联呢，一人写一对！","","","",""
"好呀，听上去很好玩呢。","","","",""
"没事啦，好不好看不重要，好玩就行！","","","",""
"se/run2.ogg","","","",""
"【跑下来】啥？你们在说啥？有啥好玩的？","","","",""
"她们要写春联，你写不写？","","","",""
"写对联？这咋写？我不会写啊！","","","",""
"民间流传的春联可多了，我们不用自己编，动手写就行啦！","","","",""
"【也走下来】","","","",""
"【走下楼】","","","",""
"写春联好呀，我好久没写了。","","","",""
"栗子糕将楼中所有的笔墨纸砚捧到了正堂，铺在了桌子上。","","","",""
"我写好了！“岁岁平安日，年年如意春”。","","","",""
"【送礼】新春快乐。","","","",""
"恩公，新春快乐！
才艺：[LYYcy] 武功：[LYYwg] 魅力：[LYYwm]","","","",""
"黎一一","","","",""
"无","","","",""
"【下一个】","","","",""
"【吹了吹墨，提起春联】“五湖四海皆春色，万水千山尽得辉”~","","","",""
"聂香","","","",""
"【美滋滋】你也新春快乐。
才艺：[NXcy] 武功：[NXwg] 魅力：[NXwm]","","","",""
"“盛世千家乐，新春百家兴”。","","","",""
"黎双双","","","",""
